#close,open,high,low,volume
36450,36800,36800,36400,2471070
37300,36900,37550,36700,4461871
36950,37550,37700,36950,3827777
37150,37100,37550,36850,4410444
37400,37400,37550,36400,5935841
36650,37200,37350,36500,3436598
36650,36750,37100,36500,2737071
36550,37000,37100,36100,4068429
36200,36850,36950,36100,5257628
36400,36450,36550,35600,5912235
36500,36500,37000,36350,3382575
35850,36400,36500,35650,3723261
34250,35800,35800,34250,7921034
33850,34150,34350,33700,5698619
32200,33100,33250,31850,10996085
32900,32250,33200,32200,5248127
32700,32550,33300,32500,3365091
33800,32750,33950,32750,3656330
33550,34300,34350,33500,2286870
32950,33100,33250,32450,4348101
31700,33100,33250,31550,9079898
31800,31500,31950,31100,6707433
31250,32600,32700,31000,7786100
31150,31200,31550,30750,8183670
32000,31300,32250,31250,7718965
32550,32400,32700,32200,5205451
32250,32600,32650,31950,5770431
32050,32250,32550,31750,5169719
31700,32350,32500,31450,5318148
31500,31550,32000,31350,4432259
30800,30900,31100,30250,7594356
30850,30600,31200,30550,3762304
31100,31150,31300,30900,4785225
31300,31850,32000,31300,4176890
31900,31500,32000,31100,5532048
32100,32000,32100,31500,4056907
32750,32350,33100,32300,7752967
32550,32750,33100,32550,4508495
32300,32800,33000,31900,5905518
32600,32300,32750,31900,4022813
31950,32450,32450,31700,4572140
31150,30500,31350,30350,8008997
31400,30850,31900,30850,4201766
31450,31050,32200,31050,4503565
32100,31950,32200,31850,3650845
32000,32350,32550,31600,3874191
32400,32000,32700,31800,4641305
32500,32900,33000,32300,4005339
33050,32750,33150,32550,4623474
32350,32900,33000,32300,4437223
31900,31700,31900,31350,4800882
31850,32150,32350,31850,2782622
31650,31900,32050,31600,3038131
31550,31500,31850,31300,4207685
31350,31500,31850,31300,6008914
31900,31650,32300,31600,6900244
32750,32550,33050,32350,8583200
32550,32900,33100,32500,4131885
32800,32800,33050,32650,4129450
32600,32750,32800,32450,2353614
32500,32500,33300,32450,4221140
32400,32300,32500,31850,4239393
32400,32400,32750,32300,3112160
32350,32750,32800,32300,3333963
33100,32400,33350,32300,6493707
33800,33500,34050,33400,7654806
33800,34050,34200,33750,3983978
33400,34000,34050,33300,3160861
33200,33400,33600,32900,3773099
33400,33000,33800,32850,5332747
